Osha,989441,37
Osha,990766,37
Osha,992783,37
Osha,993070,37
Osha,995066,37
Osha,995585,37
Osha,995914,37
Osha,997453,37
Osha,1000712,37
Osha,1001172,37
Osha,1001512,37
Osha,1394942,53
Osha,1395529,53
Osha,1396269,53
Osha,1397282,53
Osha,1397975,53
Osha,1398408,53
Osha,1399484,53
Osha,1403553,53
Osha,1406115,53
Osha,1755816,66
Osha,1756198,66
Osha,1756426,66
Osha,1757384,66
Osha,1757730,66
Osha,1758706,66
Osha,1758912,66
Osha,1760798,66
Osha,1761109,66
Osha,1762804,66
Osha,1763826,66
Osha,1765197,66
Osha,1765483,66
Osha,1766229,66
Osha,1766380,66
Osha,1767202,66
Osha,1768762,66
Osha,1769329,66
Osha,1773361,66
Osha,1776563,66
