0	1288
1	1140
2	936
3	715
4	619
5	541
6	491
7	473
8	445
9	432
10	359
11	337
12	319
13	254
14	232
15	211
16	193
17	188
18	165
19	136
20	135
21	133
22	127
23	117
24	112
25	106
26	98
27	90
28	82
29	82
30	77
31	68
32	64
33	55
34	50
35	48
36	44
37	43
38	42
39	41
40	40
41	40
42	37
43	37
44	37
45	37
46	36
47	34
48	30
49	29
50	27
51	26
52	25
53	21
54	20
55	19
56	17
57	16
58	13
59	10
60	9
61	9
62	8
63	7
64	7
65	5
66	5
67	5
68	5
69	4
70	4
71	3
72	3
73	3
74	3
75	3
76	3
77	3
78	3
79	2
80	2
81	2
82	2
83	2
84	1
85	1
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
